Year,Total Population,Urban Population,Rural Population,,Female Population,Male Population,,Ages 0-14,Ages 15-64,Ages 65+
1960,26269741,7958943,18310798,,13049585,13220156,,12353099,13104410,812231
1961,27161052,8299059,18861993,,13479861,13681191,,12798920,13525223,836908
1962,28077345,8652315,19425030,,13922311,14155034,,13289481,13928117,859747
1963,29012630,9016255,19996375,,14374393,14638237,,13793938,14337365,881326
1964,29958687,9389053,20569634,,14832643,15126044,,14264452,14791733,902503
1965,30909997,9768795,21141202,,15294738,15615259,,14677597,15308675,923724
1966,31864175,10154794,21709381,,15759700,16104475,,15101434,15811948,950794
1967,32823970,10547983,22275987,,16228787,16595183,,15470118,16376979,976873
1968,33795203,10950660,22844543,,16704581,17090622,,15801280,16990446,1003477
1969,34786309,11365383,23420926,,17190778,17595531,,16128625,17625313,1032371
1970,35803591,11807666,23995925,,17690170,18113421,,16471780,18267119,1064692
1971,36849678,12342063,24507615,,18203944,18645734,,16835339,18906389,1107950
1972,37923400,12898507,25024893,,18731648,19191752,,17210275,19560128,1152997
1973,39022759,13475729,25547030,,19272544,19750215,,17594385,20229526,1198848
1974,40144250,14074173,26070077,,19825235,20319015,,17979795,20920163,1244292
1975,41285741,14681209,26604532,,20388912,20896829,,18362438,21634601,1288702
1976,42446659,15245567,27201092,,20963368,21483291,,18764484,22342232,1339943
1977,43629415,15826570,27802845,,21549656,22079759,,19171224,23068990,1389201
1978,44838485,16426579,28411906,,22149714,22688771,,19582869,23819535,1436081
1979,46079844,17048160,29031684,,22766105,23313739,,20000315,24599595,1479934
1980,47357741,17738315,29619426,,23400658,23957083,,20424829,25412285,1520627
1981,48672831,18687447,29985384,,24053648,24619183,,20876632,26231868,1564331
1982,50023564,19680771,30342793,,24724397,25299167,,21326499,27092905,1604160
1983,51408910,20717791,30691119,,25412382,25996528,,21779618,27987575,1641717
1984,52827047,21799609,31027438,,26116717,26710330,,22244185,28903769,1679093
1985,54275836,22923399,31352437,,26836387,27439449,,22724062,29834230,1717544
1986,55755346,24093000,31662346,,27571354,28183992,,23235695,30752502,1767149
1987,57263835,25307752,31956083,,28320848,28942987,,23766658,31680564,1816613
1988,58794999,26565344,32229655,,29082158,29712841,,24305516,32625305,1864178
1989,60340768,27860539,32480229,,29851832,30488936,,24833114,33600393,1907261
1990,61895169,29082064,32813105,,30627289,31267880,,25337211,34612955,1945003
1991,63454785,29760929,33693856,,31407079,32047706,,25865971,35599171,1989643
1992,65020124,30439171,34580953,,32191334,32828790,,26358791,36632391,2028942
1993,66593904,31119331,35474573,,32980985,33612919,,26826026,37701104,2066774
1994,68180846,31802956,36377890,,33777769,34403077,,27286344,38786172,2108331
1995,69784087,32491471,37292616,,34582833,35201254,,27748659,39878635,2156793
1996,71401743,33183960,38217783,,35394320,36007423,,28202902,40968168,2230674
1997,73030879,33879025,39151854,,36210841,36820038,,28668491,42053924,2308464
1998,74672009,34576874,40095135,,37034295,37637714,,29132515,43150766,2388728
1999,76325927,35277843,41048084,,37867397,38458530,,29579053,44277606,2469268
2000,77991757,35981497,42010260,,38710923,39280834,,30003334,45439351,2549072
2001,79672869,36689356,42983513,,39568586,40104283,,30450283,46578820,2643766
2002,81365260,37399542,43965718,,40436783,40928477,,30881882,47746666,2736712
2003,83051970,38104244,44947726,,41300381,41751589,,31294669,48928879,2828422
2004,84710544,38793194,45917350,,42139061,42571483,,31673842,50116489,2920213
2005,86326251,39459729,46866522,,42939599,43386652,,31991256,51320692,3014303
2006,87888675,40099208,47789467,,43693432,44195243,,32125224,52586114,3177337
2007,89405482,40715257,48690225,,44408074,44997408,,32176994,53883967,3344521
2008,90901967,41319489,49582478,,45105958,45796009,,32135131,55252065,3514771
2009,92414161,41929229,50484932,,45818894,46595267,,32036213,56685248,3692700
2010,93966784,42597023,51369761,,46569078,47397706,,31940606,58138731,3887446
2011,95570049,43505398,52064651,,47365188,48204861,,32141053,59396986,4032010
2012,97212639,44437842,52774797,,48198297,49014342,,32362322,60664608,4185710
2013,98871558,45385011,53486547,,49051547,49820011,,32601743,61922309,4347506
2014,100513137,46329520,54183617,,49899689,50613448,,32816515,63178605,4518017
2015,102113206,47262076,54851130,,50724446,51388760,,32964141,64449670,4699395
2016,103663812,48177757,55486055,,51520471,52143341,,33091183,65635165,4937464
2017,105172921,49096823,56076098,,52293623,52879298,,33095824,66884608,5192489
2018,106651394,50026969,56624425,,53050171,53601223,,33022514,68165589,5463291
2019,108116622,50975906,57140716,,53800550,54316072,,32949493,69420734,5746394
2020,109581085,51950201,57630884,,54552260,55028825,,32921093,70620268,6039724
